text,label,clean_text
Bohat khoob so true Alhamdulillah,Positive,bohat khoob so true alhamdulillah
dil me khud aaka ho nala jm hai akbaal sjdo me pde rahna rahne se jnnat nahi milee yhi likha hai bahi,Positive,dil me khud aaka ho nala jm hai akbaal sjdo me pde rahna rahne se jnnat nahi milee yhi likha hai bahi
Sjdo me bhi wo hi pda he jis k dil me khuda ka Dr he .,Positive,sjdo me bhi wo hi pda he jis k dil me khuda ka dr he
Beshaq haq baat hai,Positive,beshaq haq baat hai
Right ha but bar bar ak hi insan q berdash karea yr ye sub batamize kerne wala bhi to samjhea,Positive,right ha but bar bar ak hi insan q berdash karea yr ye sub batamize kerne wala bhi to samjhea
Right mara jasa masom log,Positive,right mara jasa masom log
MashaAllah.,Positive,mashaallah
Mubarak,Positive,mubarak
Ma hun Hero tara <3,Positive,ma hun hero tara
Feel kar speed bot ki <3,Positive,feel kar speed bot ki
"Isy Kahty han hop hip hop <3

:* Powered By :* Abraham Tamim :*",Positive,isy kahty han hop hip hop powered by abraham tamim
Great Aadmi Aadmi,Positive,great aadmi aadmi
In England Attaullah Esakhelvi married with a Pakistani ethnography British lady,Positive,in england attaullah esakhelvi married with a pakistani ethnography british lady
He has one son with her,Positive,he has one son with her
"He got second marriage with Bazgha, she is famous manuscript actress and they have only daughter named Laraib and only son named Sanwal",Positive,he got second marriage with bazgha she is famous manuscript actress and they have only daughter named laraib and only son named sanwal
He received honorable award from the Government of Pakistan and Life time achievement award from the queen of England,Positive,he received honorable award from the government of pakistan and life time achievement award from the queen of england
He entered in Guinness book of World record for the singer of most recorded albums,Positive,he entered in guinness book of world record for the singer of most recorded albums
"Attaullah Esakhelvi ka shumar un gine chune artists mein kiya jata hai, jin ki maqboliyat, mutarrif hone se le kar shohrat ke urooj tak pohanchne tak radio, TV ya film ke marhoon e minnat nahi hai",Positive,attaullah esakhelvi ka shumar un gine chune artists mein kiya jata hai jin ki maqboliyat mutarrif hone se le kar shohrat ke urooj tak pohanchne tak radio tv ya film ke marhoon e minnat nahi hai
Agarcha aise artists mein Munni Begum aur Aziz Miyan qawaal ka naam bhi shamil hai,Positive,agarcha aise artists mein munni begum aur aziz miyan qawaal ka naam bhi shamil hai
Lekin top of the list Attaullah Esakhelvi ka naam he samjha jata hai,Positive,lekin top of the list attaullah esakhelvi ka naam he samjha jata hai
"Jin ki ibtedai zindagi aur urooj ki daastan qabil e rashk bhi hai, dilchasp bhi aur kar hawalon se qabil e taqleed bhi",Positive,jin ki ibtedai zindagi aur urooj ki daastan qabil e rashk bhi hai dilchasp bhi aur kar hawalon se qabil e taqleed bhi
In mein mauseeqi ka shauq paida hua to inho ne gungunana shuru kar diya,Positive,in mein mauseeqi ka shauq paida hua to inho ne gungunana shuru kar diya
Jab school teachers ne in ki awaaz suni to Mukesh aur Rafi ke songs ki farmaiysh karne lage aur hausla afzaai karne ke sath sath yeh dars bhi dete rehte ke singing na chorna,Positive,jab school teachers ne in ki awaaz suni to mukesh aur rafi ke songs ki farmaiysh karne lage aur hausla afzaai karne ke sath sath yeh dars bhi dete rehte ke singing na chorna
Wohi un ki infaradiyat bana,Positive,wohi un ki infaradiyat bana
"Yahin qismat ki devi un par meharban hui aur “ Rehmat Gramophone House ” naami aik company ne un ke songs ki recording ki… “ Udhar Zindagi Ka Janaza Uthega ” aur Saraiki geet “ Naki Jae Gal Tu Rus Naa Ae Dhola ” ( Choti si baat par naraz ho jate ho maahi ), jab market mein aae to jaise hulchul mach gai",Positive,yahin qismat ki devi un par meharban hui aur rehmat gramophone house naami aik company ne un ke songs ki recording ki udhar zindagi ka janaza uthega aur saraiki geet naki jae gal tu rus naa ae dhola choti si baat par naraz ho jate ho maahi jab market mein aae to jaise hulchul mach gai
Har taraf ataullah Niazi ki singing ka charcha hone laga,Positive,har taraf ataullah niazi ki singing ka charcha hone laga
Lekin us daur ke mustand singers ne unhe be surr iqraar de kar mustarid kar diya,Positive,lekin us daur ke mustand singers ne unhe be surr iqraar de kar mustarid kar diya
Radio aur TV jo maand parhte sitaron ki kafalat he nahi bal ke ubharte hue artists ke hausla afzaai ki riwayaat bhi rakhte hain,Positive,radio aur tv jo maand parhte sitaron ki kafalat he nahi bal ke ubharte hue artists ke hausla afzaai ki riwayaat bhi rakhte hain
"Lekin dosri taraf village, dehaat, qasbon, buses, wagons aur chae khano mein Attaullah Esakhelvi ki awaaz ka tota bol raha tha",Positive,lekin dosri taraf village dehaat qasbon buses wagons aur chae khano mein attaullah esakhelvi ki awaaz ka tota bol raha tha
Taweel musafat ke liye buses ka ticket lene wale pehle yeh istafsaar bhi karte ke Attaullah Esakhelvi ki cassette lagaoge ?Mianwali ke logon ne inhe bataya ke tumhare naam se Esakhel mein hotel khul gae hain,Positive,taweel musafat ke liye buses ka ticket lene wale pehle yeh istafsaar bhi karte ke attaullah esakhelvi ki cassette lagaoge mianwali ke logon ne inhe bataya ke tumhare naam se esakhel mein hotel khul gae hain
"Jagah jagah tumhari taswirein lagi hain aur Mianwali mein sirf tumhari cassette he farokht hoti hai, to Attaullah Esakhelvi ne phir Esakhel jane ka qasd kiya",Positive,jagah jagah tumhari taswirein lagi hain aur mianwali mein sirf tumhari cassette he farokht hoti hai to attaullah esakhelvi ne phir esakhel jane ka qasd kiya
Phir yeh hua ke radio Pakistan ke farmaishi naghmon ke programs mein 90 % log Attaullah Esakhelvi ke songs ki farmaiysh karte,Positive,phir yeh hua ke radio pakistan ke farmaishi naghmon ke programs mein log attaullah esakhelvi ke songs ki farmaiysh karte
Radio hukkam par bhi is hawale se dabao dala jata ke wo apni nashriyat mein Attaullah Esakhelvi ko madaoo karen aur aakhirkar majboor ho kar Attaullah Esakhelvi se radio Pakistan aane ki darkhuwast karni parhi,Positive,radio hukkam par bhi is hawale se dabao dala jata ke wo apni nashriyat mein attaullah esakhelvi ko madaoo karen aur aakhirkar majboor ho kar attaullah esakhelvi se radio pakistan aane ki darkhuwast karni parhi
70 ki dehaai ka yeh wo zamana tha jab Attaullah Esakhelvi aik cassette ki recording ka muaawza 1 lac rupees liya karte the,Positive,ki dehaai ka yeh wo zamana tha jab attaullah esakhelvi aik cassette ki recording ka muaawza lac rupees liya karte the
"Tahum radio par songs ka muaawza inhe 60 rupey ka cheque mila, jo inho ne cash nahi karwaya aur aaj tak sambhal kar rakha hua hai",Positive,tahum radio par songs ka muaawza inhe rupey ka cheque mila jo inho ne cash nahi karwaya aur aaj tak sambhal kar rakha hua hai
Sirf yehi nahi bal ke radio par recording se qabal inhe audition ( Awaaz Ki Qaulity ka Imtehaan ) kea mal se bhi guzarna parha,Positive,sirf yehi nahi bal ke radio par recording se qabal inhe audition awaaz ki qaulity ka imtehaan kea mal se bhi guzarna parha
"Phir aahista aahista un ki singing ne tabqa ishrafia ke drawing rooms, cars ke sound systems aur video libraries mein jagah bana li",Positive,phir aahista aahista un ki singing ne tabqa ishrafia ke drawing rooms cars ke sound systems aur video libraries mein jagah bana li
Beron e mulk basne wale Pakistani jab Watan aate to doston aur aehbaab ki farmaiysh pori karne ke liye barhi tadaad mein in ke cassette tohfatan le kar jate,Positive,beron e mulk basne wale pakistani jab watan aate to doston aur aehbaab ki farmaiysh pori karne ke liye barhi tadaad mein in ke cassette tohfatan le kar jate
Is tarah Europe aur Mashriq Wastee mein bhi wo Pakistan ki aik manoos aur maqbool awaaz ban gae,Positive,is tarah europe aur mashriq wastee mein bhi wo pakistan ki aik manoos aur maqbool awaaz ban gae
1980 mein inho ne pehli martaba British ka tour kiya to wahan bhi dhoom macha di,Positive,mein inho ne pehli martaba british ka tour kiya to wahan bhi dhoom macha di
Diyar e ghair mein basne wale in ke songs sunn kar apno ko yaad karte to in ki aankhon se aansoo rawaa’n ho jate,Positive,diyar e ghair mein basne wale in ke songs sunn kar apno ko yaad karte to in ki aankhon se aansoo rawaa n ho jate
Naujawan ladke aur ladkiyan walihana raqs karte to gorey bhi be saakhti ke aalam mein in ka sath dete,Positive,naujawan ladke aur ladkiyan walihana raqs karte to gorey bhi be saakhti ke aalam mein in ka sath dete
England aamad o raft ka silsila shuru hua to aik Pakistani nasaad British ladki ko dil de bethe,Positive,england aamad o raft ka silsila shuru hua to aik pakistani nasaad british ladki ko dil de bethe
Is tarah wo aaj tak sab ke Lala he hain,Positive,is tarah wo aaj tak sab ke lala he hain
Yeh aezaaz ab tak Attaullah Esakhelvi ke paas he hai ke recording aur farokht hone wale cassettes mein sab se ziyada in ki singing ke he hote hain,Positive,yeh aezaaz ab tak attaullah esakhelvi ke paas he hai ke recording aur farokht hone wale cassettes mein sab se ziyada in ki singing ke he hote hain
Inho ne hukomat e Pakistan se tamgha e imtiaz hasil karne ke sath Malika British se life time achievement award bhi hasil kiya hai,Positive,inho ne hukomat e pakistan se tamgha e imtiaz hasil karne ke sath malika british se life time achievement award bhi hasil kiya hai
1994 mein in ka naam sab se ziyada audio albums recorder karane wale singer ke hawale se Guinness Book of World record mein bhi darj tha,Positive,mein in ka naam sab se ziyada audio albums recorder karane wale singer ke hawale se guinness book of world record mein bhi darj tha
Torkham se Karachi tak truck drivers ka safar un ki awaaz ke sath hota hai,Positive,torkham se karachi tak truck drivers ka safar un ki awaaz ke sath hota hai
"President Ayyab Khan, Mohtarma Fatima Jinnah, baaz dosri shakhsiyat ki tasaweer to beshumaar trucks ke aqbii hisson par bani nazar aati hain, Lekin Attaullah Esakhelvi mulk ke wo wahid artist hain jin se wabistegi ka izhaar buses aur trucks ke piche tasweer banwa kar bhi kiya jata hai",Positive,president ayyab khan mohtarma fatima jinnah baaz dosri shakhsiyat ki tasaweer to beshumaar trucks ke aqbii hisson par bani nazar aati hain lekin attaullah esakhelvi mulk ke wo wahid artist hain jin se wabistegi ka izhaar buses aur trucks ke piche tasweer banwa kar bhi kiya jata hai
She played a fantastic role in the drama serial “ Aangan Terha ” with Shakeel Siddiqui and Saleem Nasir ( Late ),Positive,she played a fantastic role in the drama serial aangan terha with shakeel siddiqui and saleem nasir late
Bushra ansari received many more different prizes and awards in her life,Positive,bushra ansari received many more different prizes and awards in her life
She received an award of Pride of performance and Women life achievement award from Benazir Bhutto,Positive,she received an award of pride of performance and women life achievement award from benazir bhutto
She won the PTV award and Lux style award also,Positive,she won the ptv award and lux style award also
Bushra ansari performed interesting role in the film “Abhi To Main Jawan Hon” from Geo TV,Positive,bushra ansari performed interesting role in the film abhi to main jawan hon from geo tv
"Yeh beyk waqt actress, singer, host, comedian and drama nigaar ke taur par pehchani jati hain",Positive,yeh beyk waqt actress singer host comedian and drama nigaar ke taur par pehchani jati hain
Inka har andaaz munfarid aur har roop judagana hai,Positive,inka har andaaz munfarid aur har roop judagana hai
"sanjeeda acting, comedy, parody, singing, hosting aur ab drama nigari",Positive,sanjeeda acting comedy parody singing hosting aur ab drama nigari
Inho ne har field mein apna loha manwaya hai,Positive,inho ne har field mein apna loha manwaya hai
Jis se in ki do betiyan hain,Positive,jis se in ki do betiyan hain
Intehai masroof aur mashoor fankara hone ke bawajood inho ne aik biwi aur maa ka role pori zimmedari se adaa kiya,Positive,intehai masroof aur mashoor fankara hone ke bawajood inho ne aik biwi aur maa ka role pori zimmedari se adaa kiya
Bushra apni family se bohat ziyada attached hain aur fursat ka tamam waqt ghar walon ke sath he guzarti hain,Positive,bushra apni family se bohat ziyada attached hain aur fursat ka tamam waqt ghar walon ke sath he guzarti hain
"Career : Bushra Ansari sirf 9 saal ki umer mein he PTV ke children music show, Kalbon ki Mala ki regular performer ban gai thin",Positive,career bushra ansari sirf saal ki umer mein he ptv ke children music show kalbon ki mala ki regular performer ban gai thin
 To Farooq Qiaser ne inhe apne show Kalliyan ke liye muntakhib kiya,Positive,to farooq qiaser ne inhe apne show kalliyan ke liye muntakhib kiya
Is ke ilawa wo show ke deegar roles ke liye bhi songs gaya karti thin,Positive,is ke ilawa wo show ke deegar roles ke liye bhi songs gaya karti thin
"Bunyadi taur par yeh bahon ka show tha, lekin ise har umar ke nazreen barhe shauq se dekha karte the",Positive,bunyadi taur par yeh bahon ka show tha lekin ise har umar ke nazreen barhe shauq se dekha karte the
Bushra ne sab se pehle Iqbal Ansari ke aik drama mein acting ke johar dikhaey,Positive,bushra ne sab se pehle iqbal ansari ke aik drama mein acting ke johar dikhaey
Lekin Bushra ko sab se ziyada shohrat Anwar Maqsood ke show Shosha se mili,Positive,lekin bushra ko sab se ziyada shohrat anwar maqsood ke show shosha se mili
Jis mein bushra ne bijli ka role adaa kar ke meyla loot liya,Positive,jis mein bushra ne bijli ka role adaa kar ke meyla loot liya
Yeh character itna popular hua ke jab kabhi Bushra Ansari kisi show ke silsile mein beyron e mulk jati to in se bijli ka character karne ki farmaiysh ki jati,Positive,yeh character itna popular hua ke jab kabhi bushra ansari kisi show ke silsile mein beyron e mulk jati to in se bijli ka character karne ki farmaiysh ki jati
"Bushra Ansari ka aik aur aeham show Aangan Terha hai, jise Anwar Maqsood ne likha aur us mein inho ne Shakeel Siddiqui aur Saleem Nasir Marhoom ke hamrah yadgar performance di",Positive,bushra ansari ka aik aur aeham show aangan terha hai jise anwar maqsood ne likha aur us mein inho ne shakeel siddiqui aur saleem nasir marhoom ke hamrah yadgar performance di
Comedy shows ki bat ho to sab se pehle PTV ki tareekh ke maqbool tareen show Fifty Fifty ka naam zehan mein aata hai,Positive,comedy shows ki bat ho to sab se pehle ptv ki tareekh ke maqbool tareen show fifty fifty ka naam zehan mein aata hai
is show ko maqboliyat ki bulandiyon tak pohnchane mein Jahan Ismail Tara aur Majid Jahangir ki lajawab performance ka dakhal tha to Bushra Ansari ne bhi apni parodies ke zariye is show ko kamiyab banane mein koi kasar na chori,Positive,is show ko maqboliyat ki bulandiyon tak pohnchane mein jahan ismail tara aur majid jahangir ki lajawab performance ka dakhal tha to bushra ansari ne bhi apni parodies ke zariye is show ko kamiyab banane mein koi kasar na chori
inho ne chehre ke tasurrat aur body language ke zariye in roles mein jaan daal di,Positive,inho ne chehre ke tasurrat aur body language ke zariye in roles mein jaan daal di
"Bushra Ansari ne har umer ke role adaa kiye hain, jin mein young, udherh aur old age sab he shamil hain",Positive,bushra ansari ne har umer ke role adaa kiye hain jin mein young udherh aur old age sab he shamil hain
"Personality : Bushra Ansari ko sirf acting mein he malka hasil nahi, bal key eh aik shandar shakhsiyat ki bhi malik hain",Positive,personality bushra ansari ko sirf acting mein he malka hasil nahi bal key eh aik shandar shakhsiyat ki bhi malik hain
Yeh guzishta 40 saal se mini screen par apni salahiyaton ke johar dikha rahi hain aur din ba din in ke har sitaron ki tadad mein izafa hota ja raha hai,Positive,yeh guzishta saal se mini screen par apni salahiyaton ke johar dikha rahi hain aur din ba din in ke har sitaron ki tadad mein izafa hota ja raha hai
kyun ke wo janti hain ke waqt ke sath sath apne kaam mein kya tabdeeli lai ja sakti hai,Positive,kyun ke wo janti hain ke waqt ke sath sath apne kaam mein kya tabdeeli lai ja sakti hai
"dilchasp harkaat, dilkash personality aur khobsurat chehre ki malik Bushra Ansari har umar ke nazreen mein popular hain",Positive,dilchasp harkaat dilkash personality aur khobsurat chehre ki malik bushra ansari har umar ke nazreen mein popular hain
Chand maah qabal inho ne Geo TV ke show Dolly ki Aaegi Baraat mein Saima Chaudhry ka role play kar ke is serial ko mazeed dilchasp bana diya,Positive,chand maah qabal inho ne geo tv ke show dolly ki aaegi baraat mein saima chaudhry ka role play kar ke is serial ko mazeed dilchasp bana diya
Yaar yeh be fitt ha.,Positive,yaar yeh be fitt ha
Ap to hero ho  . Autograph do na 😂😂,Positive,ap to hero ho autograph do na
Autograph milay ga ..zroooor milay ga,Positive,autograph milay ga zroooor milay ga
hahahaha ye acha hai :P,Positive,hahahaha ye acha hai p
Apka zehr mjh pe b nae axr kry ga i hv antizehr of ur zehr 😒😊,Positive,apka zehr mjh pe b nae axr kry ga i hv antizehr of ur zehr
HAahah...han zroor....yar mjhe acha lgta jb yeh ese post krte,Positive,haahah han zroor yar mjhe acha lgta jb yeh ese post krte
Hahahaa...qasmay dil ki awaz h meri ye page :-D,Positive,hahahaa qasmay dil ki awaz h meri ye page d
aala :D :D,Positive,aala d d
app k dil ki bhi. :),Positive,app k dil ki bhi
buht achi bat kahi he,Positive,buht achi bat kahi he
uff yeh apki paakbaaz soch :'),Positive,uff yeh apki paakbaaz soch
Cara Jvd bilkul aisa hi kuch main apko b kehna chahti hn :D,Positive,cara jvd bilkul aisa hi kuch main apko b kehna chahti hn d
Hahaha wah saen wah 😂😂😂,Positive,hahaha wah saen wah
Baari ap to famous ho gai hain ♥,Positive,baari ap to famous ho gai hain
Hahaha... ye time ni nikal skta... u r too demanding girl,Positive,hahaha ye time ni nikal skta u r too demanding girl
Khushi se hori hy itne likes dekh k,Positive,khushi se hori hy itne likes dekh k
Ufff dono kis trha parri hain :D:D chalo na krwao :p,Positive,ufff dono kis trha parri hain d d chalo na krwao p
Akhir student kis k hnnnnn...😂😉😂,Positive,akhir student kis k hnnnnn
Ji bilkul paisaaa wasooool comments,Positive,ji bilkul paisaaa wasooool comments
aap tau millionaire ban jaen gee,Positive,aap tau millionaire ban jaen gee
"Pskistani jawano, lagatay raho imran khan k doz. aik din number one per aa jAo gay
Tabdeeli",Positive,pskistani jawano lagatay raho imran khan k doz aik din number one per aa jao gay tabdeeli
Hahaha  tum to hurr jaghaa famous ho <3,Positive,hahaha tum to hurr jaghaa famous ho
caption khass ap ky liye :'D,Positive,caption khass ap ky liye d
Saas bahu ka rishta Nawaz Sharif r mamnoon Hussain ko bhi peeche chore de 😂😂😂,Positive,saas bahu ka rishta nawaz sharif r mamnoon hussain ko bhi peeche chore de
"Apnay kharchay khudd uthaa saknay wali independent aurat ko, jo bghair kisi py depend kiye aur bghair kisi ki faaltu bakwaas sunay, (k g mein tou boht azeem aadmi hun k o biwi, tumhara kharcha uthaa rha hun) izzat k sath zindagi guzaar rhi ho, ussay kehtay hain kaamyaab aurat.",Positive,apnay kharchay khudd uthaa saknay wali independent aurat ko jo bghair kisi py depend kiye aur bghair kisi ki faaltu bakwaas sunay k g mein tou boht azeem aadmi hun k o biwi tumhara kharcha uthaa rha hun izzat k sath zindagi guzaar rhi ho ussay kehtay hain kaamyaab aurat
Meri nazr me kamyab orath wo he Jo khud mehnat or himmat kr k apna career bnaye or peso k lie kisi mrd ki mohtaj na ho.,Positive,meri nazr me kamyab orath wo he jo khud mehnat or himmat kr k apna career bnaye or peso k lie kisi mrd ki mohtaj na ho
...talaash jaari rakhein aap aik din kamyaab aurat banein gi..😂😂😂,Positive,talaash jaari rakhein aap aik din kamyaab aurat banein gi
Inshallah hum dono kaamyaab rhen apne naik iraadon mein😂😂😍..tune tou shiad dhond liya😂😂🤔ya abhi bhi talaash jaari😂😑,Positive,inshallah hum dono kaamyaab rhen apne naik iraadon mein tune tou shiad dhond liya ya abhi bhi talaash jaari
Pta Ni Kahan hoty Hain aese kamyab mard 😁,Positive,pta ni kahan hoty hain aese kamyab mard
Hehehehehe unmarried hona chahiye bs 😁,Positive,hehehehehe unmarried hona chahiye bs
Oooppss to phle bolti na dash mjhe lga Meri pysri dost mere liye soch rhi hai 😂🤣 chal tu rakh Lena😁,Positive,oooppss to phle bolti na dash mjhe lga meri pysri dost mere liye soch rhi hai chal tu rakh lena
kamiyab aurat bnna chahti hun meri sadgi dikh mai kya chahti hun 😂😂,Positive,kamiyab aurat bnna chahti hun meri sadgi dikh mai kya chahti hun
Mai khud kamyab bnna chahti ho samw khwab hai hmare yad nae tme😂,Positive,mai khud kamyab bnna chahti ho samw khwab hai hmare yad nae tme
Meri jesi kamiyabiyan na karna tum log... go for a mzeed rich bitch!! ✌🏻,Positive,meri jesi kamiyabiyan na karna tum log go for a mzeed rich bitch
mil jae ga dnt worry,Positive,mil jae ga dnt worry
Dekho wo hum ny reject krdia na ye b kaamyabi hi hoti hai😂,Positive,dekho wo hum ny reject krdia na ye b kaamyabi hi hoti hai
32k mn kia hoga yr xD,Positive,k mn kia hoga yr xd
Abhi 5o party shoro hoi he,Positive,abhi o party shoro hoi he
Jo wife ko apni pay k mutabiq kharcha krae wohi kamyab mard hy,Positive,jo wife ko apni pay k mutabiq kharcha krae wohi kamyab mard hy
Hahaha  kal ki debate k baad kamyab aurat ka award aap ko jata hai,Positive,hahaha kal ki debate k baad kamyab aurat ka award aap ko jata hai
Hahahaha shukria shukria,Positive,hahahaha shukria shukria
yani hum dono kamyab hain 🤣🤣,Positive,yani hum dono kamyab hain
kyn k tu khud ek kamyab aurat hai lol apni mehnat se 🤣🤣,Positive,kyn k tu khud ek kamyab aurat hai lol apni mehnat se
mere pas kamyaab maa hai. 😂😂😂😂,Positive,mere pas kamyaab maa hai
Yeh tou hai mard apni biwi ki kismat say hi kamaata hai,Positive,yeh tou hai mard apni biwi ki kismat say hi kamaata hai
Hum hun gay kamyab aik din ,Positive,hum hun gay kamyab aik din
Mene dhoundh lia akhir 💃👫 😛😉♥️😍  I m lucky 😁🤫,Positive,mene dhoundh lia akhir i m lucky
hum honga kamyab aiek din🙈🙈😂😂,Positive,hum honga kamyab aiek din
Allah Tallah hama b aisa hi banda da 😂😂😂😂,Positive,allah tallah hama b aisa hi banda da
hum 2no e kamyab hain 😀😀😀😀,Positive,hum no e kamyab hain
wo kya hai k meiny apny kharchy mukhtasir krny ka soch liya hai🤣,Positive,wo kya hai k meiny apny kharchy mukhtasir krny ka soch liya hai
hum kaamiyab hein 😉,Positive,hum kaamiyab hein
Jab dono khameeyab Haan tou Bari kushe ki bat ha jasy men khmeeyab mard,Positive,jab dono khameeyab haan tou bari kushe ki bat ha jasy men khmeeyab mard
Allah khair kay ga,Positive,allah khair kay ga
Alhamdulillah me kamyab aurat,Positive,alhamdulillah me kamyab aurat
bilkul sahi kaha,Positive,bilkul sahi kaha
bhai app kamyab hain 😂😝,Positive,bhai app kamyab hain
Although ham nay apny kharchay kam kr liay han hahahahahahah,Positive,although ham nay apny kharchay kam kr liay han hahahahahahah
MashaALLAH ALLAH pak sb k leay acha keray ameen,Positive,mashaallah allah pak sb k leay acha keray ameen
ameen han sana no extravagence,Positive,ameen han sana no extravagence
bt dil ko achi lgi.,Positive,bt dil ko achi lgi
Point pe hy puray 😋,Positive,point pe hy puray
ye hoti hai kamyabi 😂,Positive,ye hoti hai kamyabi
"Koi ni, perfectly imperfct tou mil jye ga😉",Positive,koi ni perfectly imperfct tou mil jye ga
Mil jaye ga .... Apna dhondh ln phir tmhry leay b 😉,Positive,mil jaye ga apna dhondh ln phir tmhry leay b
"Haha acha chlo koshish krna dono bhai hon, aur bara vala mra🤣",Positive,haha acha chlo koshish krna dono bhai hon aur bara vala mra
Haha pgl choty bhaie wali zyada faidy m hoty sb set hoa va milta jithani g 😂,Positive,haha pgl choty bhaie wali zyada faidy m hoty sb set hoa va milta jithani g
"Har pal har dum azam hmara
Sb sy perfct jo vo shakhs hmara😂😂😂😂",Positive,har pal har dum azam hmara sb sy perfct jo vo shakhs hmara
Lkn phr b roub tou bari ka hi hota😂,Positive,lkn phr b roub tou bari ka hi hota
Yr wesy mil k sb ko set kr dyn gyn 😂,Positive,yr wesy mil k sb ko set kr dyn gyn
Ptq ni ab set krengy ya khud set hongy😔,Positive,ptq ni ab set krengy ya khud set hongy
Bs sai wa swery fir uni da hostel done ay :-D,Positive,bs sai wa swery fir uni da hostel done ay d
Haha idea bura nai tha wesy chalo nxt sae 😎,Positive,haha idea bura nai tha wesy chalo nxt sae
"Xactly,cup apna,spoon apna... SAKOON APNA ....😜😛",Positive,xactly cup apna spoon apna sakoon apna
Aisaaa hi hai...,Positive,aisaaa hi hai
tere lye bday gft mil gya😉,Positive,tere lye bday gft mil gya
koi issue nai bhale mera cup use karen 🤣 beta meri bottle b har koi use karta hai,Positive,koi issue nai bhale mera cup use karen beta meri bottle b har koi use karta hai
Pyar bharta h ase,Positive,pyar bharta h ase
Kiaa pata behna shareef ho,Positive,kiaa pata behna shareef ho
shareef hi hai,Positive,shareef hi hai
tm dost ho yar keh skti ho,Positive,tm dost ho yar keh skti ho
me idhr b aisi hun apko islamabad ka shak pra rehta🤣,Positive,me idhr b aisi hun apko islamabad ka shak pra rehta
Alhumdulilah ghalazat to nhi hai 😈😯👊👊👊👊👊,Positive,alhumdulilah ghalazat to nhi hai
hahahhaahaha me to kahin sa b maesna ni lgta .tumhain pta ni kaisay lgta,Positive,hahahhaahaha me to kahin sa b maesna ni lgta tumhain pta ni kaisay lgta
Hahah hum bi apko sharif hi smjta han jnb,Positive,hahah hum bi apko sharif hi smjta han jnb
Haha Haha haye mei war jaon🤣🤣🤣,Positive,haha haha haye mei war jaon
tm mere kch kehne se pehle he smjh jatay ho sb,Positive,tm mere kch kehne se pehle he smjh jatay ho sb
Woh to MASHA'ALLAH se meri qabliat Hai.. ,Positive,woh to masha allah se meri qabliat hai
Aur masoomiyat bhi ,Positive,aur masoomiyat bhi
