clean_text,label
yad me teri dhokha khya,Negative
good stuff thora sa colour niklta hy otherwise it was good,Positive
chl kr a kay,Neutral
maghrib ke ilawa nusrat fateh ali khan ne bharat mein bhi kae filmon ki mauseeqi di,Neutral
bhata lya,Negative
saud choty ustad un best m se inka b tha,Positive
mein hi unhon ne salman khan being human productions ke naam se apna production house qaim kiya,Neutral
jihalat ki inteha,Negative
mein jang tarablis ke mauqey par turkon ki imdaad ke liye barresagher mein anjuman hilal ahmer ke zer e aehtemam chanda jama karne ki mohim shuru hui aur sindh mein mir ayub ali khan ki sadarat mein anjuman hilal ahmer ki branch qaiym hui to us ke secretary aur khazanchi sir abdullah haroon the,Neutral
mutmain begairat ho aap maan lo haar jeet hoti rhti h,Negative
nazimabad me shehrion ne daku pakar liya daku naeem police ahelkar nikla,Negative
wazir itla at kpk mushtaq ghani,Neutral
plz bat karo m tara bot bara fan hu,Neutral
duniya bhar kay akhbarat nay imran khan ki pervez musharraf kay khilaf jad o jehad ko saraha november ko imran khan ney dera ghazi khan jail mein bhok hartal shuro kiya nov ko inhein acahanak reha kardiya gaya,Positive
fund lay kar dubai ma assests banaaoo aleemakhan,Neutral
jani par jo unho nay samjhaya wo to men samjhny bhe nhn aya p,Negative
please aesa duosra drama kohi banaye mery or batuhan ka,Neutral
kal isi pe pure din ghumyo iphone x ajae ga,Neutral
bakara hei,Negative
krna kya hai aur kaisy uper se guzr gya,Negative
hahahah ni ni wo ni bat,Neutral
please dua kar dein mere liye or mere shoher or olad k liye k allah dunia or akhrat achi kar day ameen,Positive
hashin khan ne uss jaga ko daryaft kar liya tha jo unki aur unkey mulk ki waqar aur shohrat ki waja bani,Positive
isi roz unhon ne islamabad mein wifaqi kabina ka hangami ijlas talab kiya aur mulik ko chalane ke leye fori tor par aik council qayam ki,Neutral
question kia ye baat durust hai ke pakistan ki nimaindagi ke leye ibteda mein haliya big bash ka muhaidah khatam karne par aap ne pcb se zar talafi talb kiya tha,Neutral
go with umer akmal as opner and allow him to bat aggesively without any tips,Neutral
ye to just helmet ka aik name e hen is ka faida ye ke bas ap ko chalan se bacha skta hen read more,Neutral
ami k number py call kr,Neutral
wakalat ke is zamane mein i chundrigar barhi zihanat ke sath mukhtalif muqaddamaat ki pervi karte rahe the,Positive
mujhe tou dubara dena hai,Neutral
hahaha no doubt apko ghaleez ideas mai e tou dyti thi,Negative
cheez bari hai maste,Negative
bohat zabrdast drama my fvrte,Positive
i m just going to tag u in this but u tagged me before ahhhh,Neutral
wah begharat,Positive
yaqoob memon ki phansi zalimana ghair insani hai saal qaid kaat chukay thay amnesty international ki bharti iqdam ki muzammat,Negative
zulfiqar ali bhutto socialism ke manshoor par bar sar e iqtedaar aae the aur socialist jalib ne isi bunyad par intekhabi mohim ke dauran un ki taraf dari ki thi lekin jab bhutto sahab ne national awami party ki hukoomat ko bartaraf kiya aur siyasi rehnumaon ke khilaf hyderabad sazish case qaiym hua to jalib ne us ke khilaf bhi shaiyr kahe aur giriftar hue aur maah jail main rahe,Neutral
o janty ha k pori indian nation kylia ik afridiii kafi ha,Neutral
its a great pleasure,Positive
aunty ko new roads mill gae,Neutral
game pad sy maza aa giya,Positive
steven spielberg ne ab tak kam o besh films banai hain,Neutral
ary py b howe hen dance competition wo b,Neutral
kal se pakka,Neutral
guzishta chand barson se shahid afridi ka cricket career in ki bating ki tarah hichkole kha raha hai,Negative
isy again kah koe sharam hoti hai,Negative
dekhna tmari ma k sath nikah nama hi na nkl ay saly,Negative
hahahaj tu aur mai,Neutral
chor kahin k,Negative
munir hussain versatile singer september ko inteqal kar gaey,Negative
theek hai,Positive
ap deen ko pakistan ki ismbli ma nai bacha saky or hindo tu hin kafir allah imaan da in ko jin ka pora molk muslim hin uno na kya kr leya,Negative
great,Positive
ji han yeh koi itni purani baat nahi,Neutral
is ke bad angelina ne without evidence aur hackers mein kaam kiya lekin ye films box office par koi muqam hasil karne mein nakaam rahein,Negative
jo iss ki maqboiyat say ahsas e adam tahaf fuz ka shikar ho gai thein,Negative
shadi ke baad anna molka ahmed landon se amritsar agaein,Neutral
bc ye sb bhe hota hai mjhy aj ptaw chala churail aese hota hai,Negative
men samjha ap ne likha h ao logon ko haj kratay hen lol,Positive
hamari field bhi aesi hai ke yahan choti choti baat ka batangarh ban jata hai,Negative
ke wolrd cup mein wo qaumi team ko final tak na qabil e shikast le gae lekin final mein pakistan ko australia se shikast hui,Positive
ya mara number ha plz bat karo plz,Negative
ibtidai tehqiqat kay mutabiq wazir e azam kay qaflay pr hamla nahi hua gari overtake karnay se ghalat fehmi hui,Negative
mubarak,Positive
hmare saath aisa hi hua tha papers m,Neutral
furqan sb is taraf be nazar daldo idps jo saal sa begar ha,Neutral
is mauqiff par quaid e azam se un ke ikhtelafat itne barhe ke unho ne hindustan mein sakonat ikhteyar kar li aur kuch arsey bad mein pakistan aa gaey,Negative
qurban jao,Positive
national games aur national championship jese muqablon tak mein saholaton ka mayar intehai kharab hai,Negative
jo bany wo bhugtay,Neutral
page h programmers ki baten aur cover hi nahi samajh saka waqai me ap excel pe kam karne walay ho d,Neutral
abi aja,Neutral
aisee aurtain hoti hain jo matti ke tail ka choolah phatnay se marti hain,Negative
but i do it gallan ice cream,Neutral
se tak soba e punjab ke additional secretary general rahe,Neutral
anty uncle ko kehna zra,Positive
rana khan konsi caste hy,Neutral
inshaallah wazer e khazana ap hun gy,Positive
in arabic history what is the name of year when our prophet saw was born,Neutral
pmln ky ayaz sadiq votes lay kar aagay pti ky haleem khan peechay,Neutral
is he bat py lanat ap k mou py,Negative
ya allah hmari behen ki madad farma,Positive
yess i knw sahi yaad dilaya haha per safai k liye bhi wohi chaiye jiski waja se kachra bhara hua hy dimag mei,Negative
zalmi p,Neutral
wo dheme lehje mein goftogo karne wale aik khush shakal khush libas aur khush goftar fankar hain,Positive
chal prgrm bna kisi din ka m ny adan ki shopng krni hy,Neutral
they both were born at london,Neutral
hahaha blkl thk kea is bndy ny phr,Neutral
macheer,Neutral
ap k liay meri jan b hazar h,Positive
bhai is se behtar beard oil ni mil sakta fragrance free or itna effective wow,Positive
ye sawal sir hamid sai karna hai xd,Neutral
aap ne trust kiya mujh par or chance diya mujhe,Positive
mahii maths k assignments,Neutral
in england attaullah esakhelvi married with a pakistani ethnography british lady,Positive
is urat ka dimag chal gaya hay,Negative
issi baras badtareen hotey hueay halat mein unhon ne mahatma gandhi aur indian national congress ke sath ilhaq kar dea jo iss waqt adam tashadud ki sab se bari hami jamat tasauar ki jati thi,Neutral
jab tum k kapry pehnty ho bhai ka reaction,Neutral
aao twist karein ki shaandaar kamyabi k baad ab pese he ao judge karein,Neutral
aik insan ha,Neutral
masha allahallah aap ko lambi umar de,Positive
wakae,Neutral
thanks a lot for such encouragement,Neutral
youn iss daur say aj tak honay walay tamam intakhabat mein karachi samait sindh kay dusray ilaqon mein mahajir abadi walay ilaqon mein mqm hi kay umedwar kamyab hotay hain,Neutral
tu kia kra hai,Neutral
jazakallah parwardgar salamat rakhe,Positive
is video ka kia faida mazda tb tha k alarm bjta dor lok ho jata tb tk na khulta jab tk video dikhi na jati,Negative
ahaah waqaii,Neutral
shirts ache hain magar aik design ma do shirts nai hi no chahian design different hona chahian otherwise nice,Negative
bohat bura huwa karachi kay sath waisay,Negative
tulba me se tulba kamiyab,Neutral
army officers k lea sari zindagi hospitalisation free zameen ekar land crosiers pay bachy school jty wo b hnry pasay hty jnb,Neutral
kia hai anmol khazana parhna kia hai,Positive
chor ky bachy money makers,Negative
laanat is oorat ki soch py,Negative
selma lagerlof se phele swedish adab mein romaniyat ka dor dora tha,Positive
pe hastay rahay,Positive
beshak is me koye shake nahe he,Positive
amazing performance,Neutral
haha pgl choty bhaie wali zyada faidy m hoty sb set hoa va milta jithani g,Positive
lehaza sab se achi tip to yehi hai ke husool aulaad ke khuwahishmand hon aur bachon ki parwarish se lutf uthae,Positive
buhat he ache quality ke product hay i love daraz pk,Positive
inshaaaaa allah,Neutral
hahha aj tou yehi cene tha meray sth akelay selfies li bus,Neutral
shadi kay baad bhi benazer benazir bhutto kehlati rahein,Positive
tou pher germandor kon ha,Neutral
jansher khan aik zabardast khelari zaroor they magar un mein woh khubyan nazar nahein aein jo jahangir khan mein thein yahi waja hai ke jansher apni ala tareen salahyaton ke bawajood woh moqam na bana sake jo jahangir ne banaya tha,Negative
london hi mein training hasil karne wale pakistani naujawan jansher khan mein squash ki ufaq per ubhre aur jahangir khan ke leay aik sakht khan hareef sabit huey jansher ke bare bhai mohibbullah khan junior bhi aik achche khelari they jinhon ne ka british open final khela tha,Positive
mery hajjj k liye dua frma dain murshid pak,Positive
khuda garat karey in logon ko,Negative
yes yes u,Neutral
august general zia ul haq ki hadsati maut kay baad munaqid honay wali kay intekhabaat mein pakistan people s party nay numaya kamyabi hasil ki aur saal ki umar mein benazir bhutto pakistan ki tareekh ki kam umar tareen wazeer e azam ban gayein,Positive
great g,Positive
british open ke elawa deeger bainul aqwami moqablon international squash competitions mein bhi azam khan ne kayi ahem kamyabyan hasil kein,Positive
uss dour k sultan se koi bhul hoi hai,Negative
mein asma jahangir ka nam mulk ger shohrat hasil ker gea keonkey iss waqt un key walid malik ghulam jilani ke hibse beaja key khelaf un ki patishion par faisla detey huae supreem court ney chief marshallah aid ministrater jeneral yehya khan ko ghasib qarar dea tha pakistan ki tarekh aur qanoon ki ketabon mein moqadma asma jilani case key nam sey mashhoor hua,Positive
hmmm jb likes chahiyen toh video pe video bnatey hey or request karte hey ke like us,Negative
mooon kafi bakwas tha,Negative
khan mein pashawer ke qareeb aik gaon mein paida huye,Neutral
in sorton se hat kar test cricket tarikh mein qismat ke dhani ese guzre hain jinhon ne apni pheli bowl par hi batsman ko thikane laga diya,Positive
hmare mulk ny itni jldi taraki ki hn ke aap soch bhi nai sakhty,Positive
farq sirf itna hai k barish mein makan gir jate hain or mohbat mein insan,Negative
june ka meheena with ac pakistan ma guzarao pir pata lagy,Negative
itni pyari sharkain,Positive
lanat ho is dozakh ky kuty par,Negative
us ke bad asmara afridi aur phir ansha afridi,Neutral
agr dost noon ko support kry tu,Negative
wo taleem ke maidan mein kisi se piche nahi rahe inho ne qanoon mein graduation ke bad economics mein doctorate ki degree bhi hasil ki,Positive
jaya prada ne yeh peshkash qabool kar li,Neutral
so i suggest to bring him in front of camera wrna rotha rahey ga bechara d,Neutral
ksi ny liya hai in sy,Neutral
khilafat tehreek mein musalman tajiron mein bombay ke seth umer chotani aur sir abdullah haroon ne sab se ziyada hissa liya,Neutral
mein sahafti zindagi ka aaghaz sindh news ki namaa nigari se kiya jo karachi se nikalta tha,Neutral
sharm karo pakistanio apny country ka bando ko he bura bura bol rhy ho sharm karo shame for you,Negative
democratic people s republic of korea ka national name choson minjujuui inmin konghwaguk hy,Neutral
ab ye pori quom ko sochna ho ga ke agar hum pakistan ko waqai aman ka gehwara banana chahate hain to humein malala ka sath dena chahiye ya us ka sath chor dena chahiye phir aik kitab bhi malala ke naam se english mein shaya hoi jis ka naam hai main malala hun,Negative
healthy food khainn ap,Neutral
wasay apki best friend kon haysachi batana,Neutral
maze hain g apne pakistan main,Neutral
coffee wala scene to ufffffffjaldi sy kal ho or next episode lagy,Neutral
yeh pakistani qoum deserve karti hai esy logun ko kuch log is act ko b defend kar rahy hain lanat hai,Negative
saal ki umar mein unhon ne mazhabi jazbe ke zere asar ireland ke mazhabi idare order of the sisters of aur lady of loreto mein dakhla le leya,Neutral
baycot kartay hain,Negative
chal chor mai paper de ke ajao phir mention kartey hai,Neutral
why not the video regarding the cricket event,Neutral
october ko nurul amin inteqal kar gaye,Negative
un ka eee eeeandaz e bayan aur eee eee hona un ki barai hai,Neutral
kuch zyda hi mu phar ky hasti hain,Negative
june,Neutral
ganjay ko kuch nai smj aya tbi chup kr k nikal gaya sath smjhane wala staff jo nai tha,Negative
rabia qureshi,Neutral
miss shah aaj waqaai shah lag rhe hain aap,Positive
helen keller ke hath par pani ke nal se pani gira kar us ko pani ki hije yaad karati,Positive
mujhy mil rahy hyn daily,Neutral
itni muhabbat na kr mere yr,Neutral
ap tu bus kisi ko kahta dekh ly mout nazar ati ha ap ko,Neutral
baari ap to famous ho gai hain,Positive
haha phr ayse hi thodi itna handsome hy tu p,Positive
hahahahahahahaha physics k mcqssssssss,Neutral
jo aanounce ker raha tha wo keh raha hu ga is say behtar ma he hu is leye phool aur taj le gaya,Negative
lekin kuch siyasi uljhano ki wajah se nazreen ye tele film dekhne se mehroom rahe,Negative
mein sire county saal bad county champion bani to us mein intikhab alam ki umdah bowling ka bhi dakhal tha,Positive
lkin us ko juda nh hona chahiyae aur shafay ko us ki maa ki asliat pata chl jayae,Negative
in filmon mein mosa khan laila sahibah betab fatah nagina allah rakhi gharibon ka badshah sone ki talash waris aur khak aur khoon waghaira shamil hain,Neutral
in ka sab se barha score runs tha,Neutral
abid ali ke mashhor dramon mein jhok siyal ke elawa waris suraj ke sath sath ghulam gardish mehandi morat sehali samandar dosra asman buri aurat masi aur malka aan jehaz kala jadu rukhsati aur dasht samet latadad drama serials soaps aur infaradi drame shamil hain,Neutral
that s one function saadgi,Positive
pia mulazmin kal say saddarati ordinance kay khilaf kaam band kar dein gay joint action committee ka ailan,Negative
haha literally,Neutral
hahahaha larai chl rhi h ronak tu hogi na,Negative
plz mind zaroor krna,Negative
yeah pervez musharraf musaraf kay kaarnamain hain,Neutral
kam sa kam episodes our chall sakti the,Neutral
un k vote elag hony chahiay,Negative
may b monday nhi ai new epi,Neutral
raam nagar mein paida hony wali sonal chauhan ke walid police inspector hain ibtidai taleem dehli public school se hasil ki,Neutral
tarse parhe hain log,Negative
han jese tu khwab mein krti,Neutral
api uncle anti ko k lye thnkyew kr dijye ga,Neutral
hahahahhahaha itny zaida insecure,Neutral
mid night deel,Neutral
in sheharon mein brasilia sao paulo salvador recife cuiaba manaus natal rio de janeiro fortaleza belo horizonte porto alegre aur curitiba shamil hain,Neutral
bank intazamia ne pensioners ko aaj pension deny se inkar kr dia,Negative
hahahah per saba ko tum aise he topiya dyte o,Neutral
ata h ne ata h,Neutral
hahahaha right,Neutral
internet pr mojod tamam information data ka wazn gram hy rait k sb se choty zar ry se bhi kam wazan hy,Neutral
bashak subhan allh bohat khubsuray baat h,Neutral
iqrar bhai plzz allah ka wasta h help me me mosibat me hu boht plz,Negative
ji zarour,Neutral
mian muhammad shahbaz sharif pakistan muslim league nawaz group kay sadar hain,Neutral
aitemad may lyny k chakr m gaen ka susu na pe lyna,Negative
magar insan kee zaat sirf usay ouchalna hee janta hain,Negative
is muhim ko sar karne ke liye major shabbir ko teen fit chori aur das fit gehri sabona naher ko ubor karna para,Neutral
mujhe nahi lagta ke aik hi jote bar bar pehnne mein koi borai hai,Positive
halan ke mohammed ali jinnah aur mohammed ali jauhar mein siyasi ikhtelafat bhi qaiym rahe,Negative
hahaha bc ma krne lgi thi tag neechy dekha tou tu hahaha tmhare mom dad ka b dil se shukrea ronay k sath,Neutral
ap ka sath wala job ha,Neutral
bht bht he achi quality hai thank u daraz,Positive
kafir kutte,Negative
ke bad sylvester stallone ne films mein bataur villain kaam karna shuru kiya lekin baras bad he wo aik bar phir action films ke hero ke taur par jalwagar hone lage,Neutral
tu to hai na,Neutral
allah kry ghongat k neechy se zaid ali niklay,Neutral
allah kare pak ma b koi mard hukamran ae jo koom ki betion ki hefazt kary,Positive
mein pakistan ke marooz e wajud mein ane ke baad wazir e aala ke sectary khurak aur civil o supplies soba sarhad ke director rahe,Neutral
bhot ache bat ha,Neutral
ma sha allah be shak izzaten allah deta hy,Positive
iss nazuk muqe par unhon ne apne hawas barqarar rakhe aur apne shaheed sathi ki machine gun utha kar phir barsar e pekar ho gaye,Positive
aur wo baras tak bataur director munsalik rahe,Neutral
insaf ki farhami ki sorat e haal ye hai ke koi jaiz kaam bhi rishwat ke bagher hone ka tasawor bhi khatam ho chukka hai,Negative
allah dr afia per reham karay or un ke madad farmay,Positive
abhi o party shoro hoi he,Positive
ya elahi ya elahi,Positive
laal gunj ke laal bagh se laal chunariya laayi,Neutral
ab dimgh ki chatni q bnate ho v,Negative
mery bary kia khyl hai by the main abi half kamyb hun aur ap bi half,Neutral
safa mamala garam hai boss,Negative
july ko trackter plant ke sang e buniyad ki taqrib se khitab karte hoye unhon ne kaha ke sadar ne land mafiya ke khilaf qanon par dastakhat kardeye hain hun zamino par qabze mein mulavis afrad ko nishan e abrat bana den gaye,Positive
ab aunty dekh rahee hogi taraaaakkiii after flooding,Negative
hahaha so me,Neutral
agarcha ke ashrey mien bhi inho ne television dramas mien role kiye the,Neutral
exactly jinnay lore ni takkiya jammaya nai,Neutral
aftab jawed ne kai tournament jeete magar woh british open ka ejaz hasil kerne sey qasir rahe woh aur ke british open ke final mein zaroor pahonche they magar dono martaba unhein shikasht ka samna kerna para tha ke british open final mein bhi woh pahonche lakin apne akhri rukawat aboor na ker sake,Negative
ubqari k adwiyaat khany se mil jaye ga anmool khazana,Positive
remind you of anyone,Neutral
steven ne shadiyan ki aur in ke bache hain,Neutral
every bird,Neutral
khan abdul ghaffar khan ne national congress ki hamnawai mein do qaumi nazere musalmanon ke judagana tashkhus aur qiyam pakistan ko kabhi tasleem nahein kiya,Negative
molvi abdul haq ne aik mustanad aur mayari angrezi urdu lughat bhi tarteb di,Positive
nhi miss a c bat nhi h ya to just funny,Neutral
din ma jab be time lga apka,Neutral
akhir kar british open title mohibullah ke hisse mein mein aya yeh sabit qadmi ki fatah thi,Positive
mojudah football world cup tarteb ke lehaz se beaswan th event hai,Positive
such a great personality,Positive
satsangyaanin khey grp maan kadhi chugli thaa kroon,Negative
teen tasbee shubha sham ke phr rahy hai,Neutral
question guzishta arse deal stain ne musalsal kai bar aap ko out kiya is ki kiya wajah samajhte hian,Negative
achy khaber hai,Positive
osama bhai is so sweet,Neutral
or kitna gora hona hy zoya ap ne,Neutral
i m disabled person sirkia mujy b fee submit krani hy ya nai,Neutral
inn dhamakon mein paunay do sau kay lag bhag afrad jan bahaq huye aur sankron zakhmi hoye,Negative
mention kardena mujhe jab upload karein toh,Neutral
aj kal yahe hoo rh h green tea k sath beryani,Neutral
ni gor se toh dekh,Neutral
aman ullah khankuty k bchy kon gali dy rha hai foj ko kun phtt rhi hai teri,Negative
that was justtt owwsm loved it,Neutral
iss kay bad unhon nay christ church college oxford university mein dakhla lia jahan say mein unhon ney ma owners ki dirge hasil ki,Neutral
yaaarrr ap intezaar nhi ho raha arsaallll,Negative
dosri janib meera ke sectary ne in khabron ko bebunyad qarar diya hai,Negative
saal ki umar mein javed miandad ka shumar ache cricketers mein kiya jane lage,Positive
is baat ka ishara un ki tarikh e peaidaish se bhi milta hai jo th august hai yani aan qayam e pakistan ke roz,Neutral
bohot acha tha maine yeh apni liye mangwai thi or mujhe sai lageen bus masla yeh tha ke meine medium mangwai thi laken mere paas large deliver hui laken maine rakh li phir bhi acha quality tha or defect bhi nahi thay bus red thora saturated tha baaki saet tha,Positive
mujhay iska print bohat pasand aya bohat nafees aur khubsurat print hai kurit kay sath tasweer mein dekhaya black trouser bhi add karna chaye ismein,Positive
chitral peshawar road amdorafat k liye band sankro gariya phans gai,Negative
alright baby,Neutral
farig logo ka time pas,Negative
na me zimni intikhab se qabal pml n ko dhachka n league k sabiq ticket holders mian aslam or hassan mehmood shah pti me shamil,Positive
mein app nay apni jama poungi say aik choti si dokan khareedi aur issi dokan mein app nay aik doctor ki madad say choti si dispensary khuli jinhone in ko tibi imdad ki mubadiyat sikhaye,Neutral
bohat mazy ka h drama,Positive
ppp ne khud ko ameer banane ke elawa kya kaam karliyaa,Negative
sahi,Neutral
hahahahahaha bht khushi hoti p,Positive
pazeerai to khoob mili lekin ghar walon ka rawaiyya na badla,Negative
kashif noonari jitni exercisr kr ly betaa tujh se nhin honaa vekh lenaa kh deti hn m,Neutral
he got second marriage with bazgha she is famous manuscript actress and they have only daughter named laraib and only son named sanwal,Positive
is auntie ko dkh,Neutral
i think aleen chor k chali jaegi,Negative
hahaha us din pit jana tha kasam se,Negative
abe bhai apni baat kar raha hun,Neutral
very well done bahat goose bumps ii but hamara vote kitab ko hi hea,Neutral
wasy hi acha lag raha ha,Positive
quta sirf soba sindh mai muhajron per aik arsay se laga hua hai kisi mai ki lal mai taqat hai tou kisi our per laga kar dikhae,Negative
aisi koi hadith nahi haii beghair tahqiq koi bhi post na lagaya karo spe hadith allah ne aqal di hai usay istemal karo,Negative
laali ka bara afsos ha,Negative
sae kh re ho,Neutral
allah nazre bad se bachy tm jaiso ki,Negative
set m koi masla tu nh h bahi jan,Neutral
jahangir khan bachpen mein nehaiat naheef o nazar they kam umri mein dunya key shikar ho gae aur doctron ney squash key khail ko un key leay shejrea mamnua qarar dae dea,Negative
bushra ansari ne geo films ki abhi to main jawan hon mein bhi aik dilchasp role play kiya tha,Neutral
janab justice iftikhar muhammad chaudhry ki qayadat mein dajanon judge dat gaye,Positive
khair mubarak murshad g or tamam sathiyoun ko eid mubarak,Positive
aap ke walid ka naam majeed minhas tha jo thekeydar the,Neutral
yeh khud chahta a is umar main shadi krna had ogi,Negative
college ke zamane mien wo baqaiydegi se stage dramas mien hissa lete the,Neutral
lanate maluna tum per,Neutral
hamayn sharam aati hai,Negative
is per tu pakistan zindabad banta hai bhai,Positive
sindh me ghanto me garmi se janbahaq ki tadad se zaid hogai,Negative
chess khl ri ti islie,Neutral
bharte bharte mein marfiya ka istemal karne lage,Negative
even is bande ne apna collar button band kia hai lawl,Negative
size bhi btayen,Neutral
nice but funny,Positive
haal he mein ahsan khan se aik ittefaqiya mulaqat mein kuch batein hui jin ka aehwal pesh e khidmat hai,Positive
tumsey milney k karta tha bahaney kitney ab guzaarunga tere begair jamaney kitney,Negative
tu taraqi kare ga choty bhai,Positive
pir ali muhammed rashdi ne sindh ke adab sahafat aur siyasat ke liye besh baha kaam kiya,Positive
ya tooo ni ho sakta kabi b ni,Neutral
amna khan jis case ki bt ap kr rahi hain woh buhat purana hai ure in logo ny govt sy mil kr is case k daba dia hai pesy lay kr dekhawy is etjaj kr dety hain yai up gradation kpk main kb ki ho chuki hai,Negative
urdu zuban mien record kiye jane wale geet mien nachne aur jhomne ke liye hum ne original saaz istemal kiye hain,Positive
aaj raat se september tak sindh punjab samait mulk bhar ka beshtar elaqon me barish ka imkan mehkma e mousmiyat,Positive
lekin main hamesha apne bachon kea as paas he daur lagati rehti hon,Positive
maidah shoaib i agree with lines in red namona indeed ap bhi red lines,Neutral
ppp ne sindh mei aesa kya karliya,Negative
hahah tu direct kr de,Neutral
astaghfar allah ko lanat ho is pe,Negative
auratien makhsus ayam mai likh sakti hain,Neutral
same situation kuch mari b,Neutral
lush awes me song toh bhttt pyra tha serial ka,Positive
jaane main kaise paida hua hoon p p,Negative
bilawal zardari ki amad pr marizon ka lady reading hospital me dakhla band awam ka go bilawal go ka nary police ka lathi charge,Negative
acha item hai,Positive
tujhe pata kese chale ga pagle,Negative
baar b q ka scene hai,Neutral
ka khayal hy k me isb ja kr modern ho jati hun mjhy pta nae kya ho jata me yaqeen dil dila thak gai k shuru se aisi hun ryk b aisi e hoti hun but she mostly see me in hijab at school is wja se inko mjh pe shak pra rehta,Negative
sheetal dawat wo song yaad h na clg k campus wala,Neutral
hmary wala haal,Neutral
well done quetta gladiators,Neutral
apne purane midat,Neutral
nai bio meri bio esi h,Neutral
aur her sas apni bahu ko hamesha yehi story sunati hai k usne jitne zulm o sitam dekhay hain uske muqablay may uski bahu phooloan k sayj pay baithi hai,Neutral
good,Positive
han koi shak ni,Positive
sach,Neutral
huma aap khubsuret hain lke u,Positive
bhai baat tharak pan ki hoti to man leta ye na manzoor na manzoor,Negative
kay intakhabat mein in ki jamat nay pervaiz mushrraf ki zere nigrani munaqad honey wale intekhabat mein hissa layne say asoli bunyado per inkar kardiya,Neutral
walid sahib ne inhe na sirf hospital pohanchaya tha bal ke in ki jaan bachane ke liye khoon bhi diya tha,Positive
love,Positive
ek zehrili ek anokhi or kon kon reh gaya,Negative
yeah meri baat sach tou nhi ho rahi,Neutral
jahalat dekho,Negative
beef ki mang rhe the bhol mat,Neutral
ji bilkul allah hmary rozy qabool kry,Positive
dukh ki baat too ye hy ky ye kaysy parent s hy,Negative
